LA_name,LA_code,Covid_Death_Total,Population_Density,Children,Teenagers,Adults,Middle Age Adults,Senior,Good Health,Very good health,Bad health,Very bad health,No Dimension ,one dimension,two dimensions,three dimensions,four dimensions,Economically active (excluding full-time students),Economically active and a full-time student,Economically inactive
Ipswich,E07000202,2.28,139.64,199.19,45.98,205.37,384.69,164.78,493.13,456.36,39.83,10.67,192.6,147.55,66.83,18.04,1.12,491.39,17.87,291.57
Isle of Wight,E06000046,1.82,140.46,148.6,35.46,141.52,382.37,292.04,533.82,398.79,52.58,14.8,203.4,167.14,71.69,17.55,1.39,427.02,10.11,414.25
Isles of Scilly,E06000053,0,2.06,157.92,13.61,144.31,402.33,281.83,445.58,512.15,32.07,8.26,232.26,163.75,51.51,10.2,0,542.27,5.83,292.03
Islington,E09000019,1.5,216.59,152.18,40.7,344.15,369.14,93.82,396.56,548,41.1,14.35,215.42,135.76,67.3,24.97,2.08,551.43,25.31,271.08
Kensington and Chelsea,E09000020,1.75,143.38,141.49,37.94,260.46,416.44,143.67,359.15,596.07,33.52,11.26,245.33,141.2,56.64,20.35,2.97,507.11,16.5,334.9
King's Lynn and West Norfolk,E07000146,2.52,154.32,164.81,36.71,161.47,378.23,258.79,523.27,417.4,46.05,13.32,192.21,160.78,68.2,15.1,0.88,458.97,10.18,366.06
Kingston upon Hull,E06000010,2.29,267.01,199,46.37,226.45,375.28,152.9,498.11,433.6,52.43,15.87,178.11,147.47,81.6,24.16,1.13,460.04,19.92,321.04
Kingston upon Thames,E09000021,1.81,168.06,193.97,44.67,204.84,411.79,144.73,425.04,541.21,25.98,7.76,218.01,120.63,41.92,9.23,0.69,508.29,23.56,274.19
Kirklees,E08000034,2.01,433.22,200.69,49.23,186.31,386.46,177.31,478.89,465.59,43.09,12.41,191.58,137.56,62.44,18.19,1.08,448.08,18.63,332.58
Knowsley,E08000011,2.56,154.52,195.57,42.43,199.88,392.29,169.83,440.91,472.93,64.95,21.18,174.42,138.32,82.11,31.43,1.31,464.05,14.07,326.27
Lambeth,E09000022,1.64,317.66,153.34,37.51,342.05,381.28,85.83,398.07,562.03,30.16,9.71,212.07,134.5,58.63,17.31,1.49,598.22,22.38,226.03
Lancaster,E07000121,1.99,142.93,162.97,64.14,202.94,364.63,205.33,479.08,464.93,43.48,12.52,203.08,142.12,58.65,14.92,0.87,432.2,28.02,376.81
Leeds,E08000035,1.89,811.95,189.03,52.85,236.13,365.87,156.12,454.66,495.17,38.94,11.23,203.16,138.36,60.45,17.4,1.18,465.16,28.86,316.95
Leicester,E06000016,2.2,368.57,210.43,63.78,246.62,361.15,118.03,460.11,487.61,40.02,12.27,134.02,123.81,65.37,20.69,1.73,425.77,34.32,329.49
Lewes,E07000063,2.66,99.91,166.98,41.09,136.61,390.41,264.91,489.31,455.73,43.01,11.88,209.52,153.17,59.82,13.68,1.06,455.65,12.76,364.53
Lewisham,E09000023,1.83,300.55,193.44,41.28,257.01,412.95,95.32,425.55,531.17,32.91,10.36,192.25,132.3,61.74,19.15,1.78,540.38,23.84,242.35
Lichfield,E07000194,2.64,106.44,167.62,39.55,160.51,392.48,239.85,478.96,471.1,39.1,10.81,222.95,140.63,54.13,10.42,0.56,481.82,12.73,337.83
Lincoln,E07000138,1.58,103.81,161.31,75.85,281.31,336.98,144.55,507.23,438.21,42.97,11.59,184.88,141.1,64.33,17.96,1.18,441.67,45.65,351.34
Liverpool,E08000012,2.63,486.09,170.87,59.92,256.6,359.7,152.9,443.28,476.93,59.82,19.97,177.46,139.4,79.01,29.6,1.38,428.02,34.76,366.33
Luton,E06000032,2.26,225.26,233.36,53.02,221.76,374.83,117.03,465.81,486.79,36.23,11.17,144.77,127.69,60.02,16.57,1.4,447.76,31,287.89
Maidstone,E07000110,2.26,175.78,191.41,39.46,183.71,394.7,190.71,459.67,497.75,33.18,9.43,208.81,135.2,49.19,11.02,0.89,500.96,12.55,295.11
Maldon,E07000074,2.1,66.21,162.85,40.58,148.99,397.61,249.97,485.53,466.76,37.56,10.15,209.07,146.33,54.18,11.39,0.44,481.47,10.63,345.05
Malvern Hills,E07000235,1.64,79.48,155.57,41.92,131.75,390.91,279.85,485.34,464.58,38.95,11.17,231.24,146.47,51.68,9.2,0.42,459.76,10.2,374.52
Manchester,E08000003,1.65,551.94,206.51,64.72,294.36,339.89,94.52,431.95,508.29,45.14,14.61,169.46,127.77,66.92,23.52,1.36,430.6,39.17,323.71
Mansfield,E07000174,2.67,110.49,183.85,37.56,186.52,399.26,192.8,500.57,426.51,56.56,16.33,184.73,150.63,76.42,21.99,0.95,474.65,13.03,328.44
Medway,E06000035,2.61,279.77,203.79,46.02,195.32,390.25,164.61,474.12,474.83,39.93,11.13,185.18,137.29,59.06,15.46,1.4,486.61,15.85,293.75
Melton,E07000133,1.76,51.75,170.18,38.18,149.91,406.85,234.87,481.98,478.21,31.34,8.48,231.67,147.38,48.64,8.48,0.48,497.27,12.27,320.36
Somerset,E06000066,1.58,571.55,169.02,40.98,156.7,385.02,248.27,488.91,459.95,40.15,10.99,218.76,150.52,55.93,11.83,0.58,476.86,12.72,341.38
Merton,E09000024,2,215.19,197.11,38.4,220.84,417.84,125.8,417.03,549.01,26.02,7.92,204.74,118.95,44.76,10.58,0.78,535.39,17.15,250.35
Mid Devon,E07000042,0.83,82.85,176.78,41.27,147.29,394.59,240.07,480.64,471.62,37.24,10.55,211.27,150.89,56.1,11.31,0.57,490.73,12.05,320.45
Mid Suffolk,E07000203,1.72,102.7,159.64,40.04,154.05,393.31,252.96,488.44,469.37,33.63,8.53,225.25,147.21,50.1,8.8,0.4,491.95,12.03,336.37
Mid Sussex,E07000228,2.09,152.57,191.72,40.65,152.2,409.02,206.42,435.79,529.21,27.4,7.58,237.92,130.01,39.84,7,0.45,508.51,12.62,287.13
Middlesbrough,E06000002,2.54,143.92,208.35,47.06,214.1,362.5,167.99,459.99,466.97,55.37,17.68,176.53,141.7,75.15,24.44,0.89,404.61,27.9,359.16
Milton Keynes,E06000042,1.75,287.06,216.79,44.37,195.19,405.76,137.9,447.71,510.83,32.19,9.29,201.93,128.12,50.31,12.73,0.92,508.25,20.16,254.83
